X*,Y*,m,t/y
'"42°44''16.66""N"','"23°14''28.82""E"',8,0.38
'"42°39''46.01""N"','"23°23''19.70""E"',15,0.03
'"42°39''46.47""N"','"23°23''19.27""E"',15,0.2
'"42°39''46.70""N"','"23°23''19.07""E"',15,0.96
'"42°39''47.12""N"','"23°23''21.30""E"',15,1.58
'"42°43''56.26""N"','"23°19''2.77""E"',12,1.22
'"42°49''16.33""N"','"23°22''5.64""E"',10,0.6
'"42°43''21.96""N"','"23°19''20.22""E"',7,0.07
'"42°43''22.59""N"','"23°19''18.46""E"',8,0.41
'"42°39''29.73""N"','"23°21''37.75""E"',30,0.46
'"42°44''44.74""N"','"23°19''46.16""E"',12,0.06
'"42°42''4.17""N"','"23°25''2.47""E"',12,0.85
'"42°42''44.19""N"','"23°15''31.34""E"',12,1.36
'"42°41''49.00""N"','"23°32''10.82""E"',3.5,0.36
'"42°41''51.81""N"','"23°32''8.05""E"',10,0.48
'"42°41''51.75""N"','"23°32''8.08""E"',6,0.37
'"42°42''20.39""N"','"23°20''22.88""E"',48,0.48
'"42°42''20.23""N"','"23°20''21.90""E"',48,0.37
'"42°42''20.19""N"','"23°20''22.99""E"',48,0.37
'"42°42''20.37""N"','"23°20''23.30""E"',48,0.42
'"42°42''20.55""N"','"23°20''23.17""E"',48,0.41
'"42°42''20.45""N"','"23°20''23.08""E"',48,0.31
'"42°42''19.78""N"','"23°20''24.29""E"',48,0.2
'"42°42''19.73""N"','"23°20''24.17""E"',37,0.46
'"42°42''19.66""N"','"23°20''24.12""E"',37,0.44
'"42°42''19.54""N"','"23°20''24.01""E"',37,0.53
'"42°42''19.45""N"','"23°20''23.95""E"',37,0.38
'"42°42''19.36""N"','"23°20''23.85""E"',37,0.68
'"42°42''21.13""N"','"23°20''20.98""E"',37,0.46
'"42°42''21.37""N"','"23°20''21.05""E"',30,0.47
'"42°42''22.44""N"','"23°20''18.18""E"',30,0.11
'"42°42''23.22""N"','"23°20''17.90""E"',30,0.25
'"42°42''22.73""N"','"23°20''18.81""E"',30,0.11
'"42°42''21.79""N"','"23°20''19.67""E"',30,0.12
'"42°42''21.75""N"','"23°20''20.04""E"',30,0.15
'"42°42''21.63""N"','"23°20''20.42""E"',30,0.11
'"42°42''21.40""N"','"23°20''20.67""E"',30,0.13
'"42°42''21.27""N"','"23°20''20.86""E"',30,0.26
'"42°42''21.42""N"','"23°20''21.24""E"',40,0.04
'"42°42''22.57""N"','"23°20''22.50""E"',40,0.9
'"42°42''22.89""N"','"23°20''22.03""E"',40,0.26
'"42°42''23.05""N"','"23°20''21.69""E"',40,0.37
'"42°42''16.93""N"','"23°20''22.98""E"',40,0.27
'"42°45''0.98""N"','"23°29''31.47""E"',8,1.26
'"42°45''0.42""N"','"23°29''32.47""E"',8,1.11
'"42°44''59.44""N"','"23°29''32.11""E"',8,0.01
'"42°39''28.30""N"','"23°25''4.86""E"',25,1.48
'"42°39''17.40""N"','"23°25''9.27""E"',15,0.88
'"42°39''17.26""N"','"23°25''9.78""E"',15,0.21
'"42°39''23.88""N"','"23°25''7.69""E"',60,0.63
'"42°39''22.52""N"','"23°25''3.95""E"',21,2.03
'"42°39''23.62""N"','"23°25''2.75""E"',18,2.12
'"42°39''29.94""N"','"23°25''4.57""E"',21,0.09
'"42°39''30.24""N"','"23°25''3.99""E"',21,0.08
'"42°39''25.97""N"','"23°25''5.70""E"',21,0.05
'"42°39''29.20""N"','"23°25''6.98""E"',22,0.04
'"42°39''24.69""N"','"23°25''7.85""E"',25,5.36
'"42°43''15.15""N"','"23°26''24.39""E"',15,0.41
'"42°43''11.34""N"','"23°19''25.99""E"',120,1.74
'"42°43''13.60""N"','"23°19''27.52""E"',120,6.52
'"42°39''9.76""N"','"23°25''3.63""E"',125,7.09
'"42°39''5.32""N"','"23°25''2.78""E"',125,4.35
'"42°49''10.47""N"','"23°21''44.50""E"',8,6.96
'"42°43''50.47""N"','"23°19''41.35""E"',35,1.15
'"42°43''50.86""N"','"23°19''43.23""E"',8,1.81
'"42°43''51.34""N"','"23°19''42.05""E"',12,0.18
'"42°44''58.28""N"','"23°15''12.03""E"',120,2.68
'"42°44''57.43""N"','"23°15''11.47""E"',15,0.1
'"42°44''57.88""N"','"23°15''11.37""E"',15,0.21
'"42°45''51.84""N"','"23°26''15.90""E"',12,1.21
'"42°45''51.64""N"','"23°26''16.16""E"',4,0.29
