year,Month,day,TASMAX,TASAVG,TASMIN,DPMAX,DPAVG,DPMIN,RHMAX,RHAVG,RHMIN,sfcWindMAX,sfcWindAVG,sfcWindMIN,PSLMAX,PSLAVG,PSLMIN,PRCPMAX,PRCPAVG,PRCPMIN,VISIB
2016,11,1,12.7788,6.6672,0,2.2224,-1.1112,-3.3336,87,58.5,30,24.1401,12.07005,0,1026.753044,1024.89053,1023.028016,-9999,0,-9999,5.471756
2016,11,2,15.5568,6.6672,-1.6668,2.778,0.5556,-2.778,100,68,36,11.26538,5.63269,0,1026.414405,1020.826864,1015.239322,-9999,0,-9999,8.0467
2016,11,3,13.3344,8.334,3.3336,7.2228,3.3336,-1.1112,100,71,42,28.96812,14.48406,0,1023.366655,1019.133669,1014.900683,-9999,5.08,-9999,7.563898
2016,11,4,10.5564,6.1116,1.6668,6.1116,3.3336,1.1112,100,75,50,28.96812,14.48406,0,1025.398488,1023.197336,1020.996183,-9999,0,-9999,9.816974
2016,11,5,15.0012,8.8896,2.778,10.0008,6.6672,2.778,100,78.5,57,14.48406,7.24203,0,1024.043933,1020.657544,1017.271155,-9999,0,-9999,9.977908
2016,11,6,17.7792,11.6676,5.556,10.0008,7.7784,5.0004,100,75.5,51,20.92142,10.46071,0,1017.609794,1013.376809,1009.143823,-9999,0,-9999,3.21868
2016,11,7,22.7796,16.668,10.5564,12.2232,8.334,5.0004,82,52,22,40.2335,20.11675,0,1009.143823,1008.127906,1007.111989,-9999,0,-9999,6.759228
2016,11,8,21.1128,16.668,12.7788,15.0012,11.112,7.7784,100,71.5,43,28.96812,14.48406,0,1008.127906,1004.741517,1001.355129,-9999,12.954,-9999,8.368568
2016,11,9,15.5568,10.0008,5.0004,12.7788,10.0008,3.3336,100,71.5,43,37.01482,21.72609,6.43736,1008.466545,1004.741517,1001.01649,-9999,4.064,-9999,6.920162
2016,11,10,10.0008,5.556,1.1112,7.7784,5.0004,0.5556,100,83.5,67,24.1401,12.07005,0,1015.239322,1011.175656,1007.111989,-9999,0.254,-9999,9.173238
2016,11,11,15.0012,10.0008,5.0004,8.8896,5.556,2.778,100,77,54,24.1401,12.07005,0,1018.96435,1017.101836,1015.239322,-9999,0,-9999,7.24203
2016,11,12,11.6676,8.8896,6.6672,10.0008,7.2228,2.2224,100,79,58,38.62416,19.31208,0,1018.287072,1012.699531,1007.111989,-9999,902.97,-9999,9.977908
2016,11,13,7.7784,3.8892,0,7.2228,-0.5556,-6.1116,93,67,41,38.62416,19.31208,0,1027.091683,1018.625711,1010.159739,-9999,0,-9999,9.977908
2016,11,14,20.5572,10.0008,-1.1112,5.0004,-2.2224,-6.1116,100,66.5,33,28.96812,15.28873,1.60934,1032.848543,1027.430321,1022.0121,-9999,0,-9999,10.782578
2016,11,15,1.6668,0,-1.1112,-2.778,-4.4448,-6.1116,80,70,60,16.0934,9.65604,3.21868,1033.525821,1031.324668,1029.123516,-9999,0,-9999,9.977908
2016,11,16,5.0004,-1.1112,-6.6672,-0.5556,-3.3336,-6.6672,100,70.5,41,9.65604,4.82802,0,1031.832627,1027.430321,1023.028016,-9999,0,-9999,7.885766
2016,11,17,12.7788,5.556,-1.6668,2.778,-0.5556,-6.6672,100,63.5,27,12.87472,6.43736,0,1025.737127,1023.366655,1020.996183,-9999,0,-9999,8.368568
2016,11,18,13.3344,6.1116,-1.1112,3.8892,1.1112,-2.2224,100,69,38,12.87472,6.43736,0,1028.107599,1025.567808,1023.028016,-9999,0,-9999,5.793624
2016,11,19,15.0012,7.7784,0.5556,5.0004,1.6668,-1.1112,100,72.5,45,25.74944,12.87472,0,1028.784877,1025.398488,1022.0121,-9999,0,-9999,5.471756
2016,11,20,13.89,5.556,-2.2224,5.0004,1.6668,-2.778,100,67,34,12.87472,6.43736,0,1027.091683,1025.059849,1023.028016,-9999,0,-9999,6.598294
